predictor,omission_type,omitted,n_records,n_proteins,standardized_slope,p_value
domain_charge_pH7,bacteriocin,Pyocin L3,29,13,-0.0034147648042340477,0.9918857165723965
domain_charge_pH7,bacteriocin,Pyocin S6,34,13,-0.24522642744057171,0.008442011421348244
domain_charge_pH7,doi,10.1016/j.febslet.2010.06.021,34,14,-0.031440598848697654,0.9238971621088234
domain_charge_pH7,doi,10.1371/journal.pone.0185782,33,13,0.0485830197013311,0.8907521465617182
domain_charge_pH7,doi,10.1371/journal.ppat.1003199,34,13,0.01976625980728358,0.9501153298327435
domain_charge_pH7,doi,10.1371/journal.ppat.1003898,33,14,0.00309498594062239,0.9919309349782522
domain_charge_pH7,doi,10.1074/jbc.M112.400150,34,13,0.021055996682223604,0.9436910854050641
domain_charge_pH7,doi,10.1038/s41598-019-51969-1,27,8,0.4189793049095072,0.44575348791165814
domain_charge_pH7,doi,10.1002/mbo3.210,16,12,0.15434862149563983,0.7076248123647633
domain_charge_pH7,doi,10.1002/mbo3.339,34,13,-0.24522642744057171,0.008442011421348244
domain_gravy,bacteriocin,Pyocin S5,33,13,-0.5176348621699276,0.29542812316684786
domain_gravy,bacteriocin,PaeM4,34,13,-0.5152948298135797,0.31174958696558275
domain_gravy,bacteriocin,LlpA BW11M1,34,13,-0.46166636593253424,0.3881260025177735
domain_gravy,bacteriocin,Pyocin L1,26,13,-0.5056680392172515,0.32009930389820174
domain_gravy,bacteriocin,Syringacin M,34,13,-0.560470145587277,0.22347000916158055
domain_gravy,bacteriocin,KpneA,34,13,-0.486981220459972,0.34108929929039733
domain_gravy,bacteriocin,KaerA,34,13,-0.44799920896226014,0.4486859762205051
domain_gravy,bacteriocin,KvarIa,34,13,-0.4965296353020832,0.33894400528923807
domain_gravy,bacteriocin,KvarM,33,13,-0.6024477926549696,0.1494183895822652
domain_gravy,bacteriocin,KpneM,33,13,-0.5045678416875105,0.32212771023648823
domain_gravy,bacteriocin,KpneM2,34,13,-0.5035269743862146,0.3239695072159211
domain_gravy,bacteriocin,Pyocin L2,29,13,-0.5168761557470638,0.30680351768819514
